,Actual_DT,Actual_ET,LI_8100_Vent,Multiplexer_CO2_1,Multiplexer_CO2_2,Multiplexer_CO2_3,Picarro_ANEM,Picarro_CO2,Vent_Anem_Temp
115,2019-09-09 20:19:00,1568081940.0,,,,,,1568082053.9,
116,2019-09-09 20:20:00,1568082000.0,,,,,,1568082113.9,
117,2019-09-09 20:21:00,1568082060.0,,,,,,1568082173.8,
118,2019-09-10 08:16:00,1568124960.0,,,,,,1568125074.5,
119,2019-09-10 08:17:00,1568125020.0,,,,,,1568125134.3,
120,2019-09-10 08:18:00,1568125080.0,,,,,,1568125194.4,
121,2019-09-10 19:02:00,1568163720.0,,,,,,1568163834.8,
122,2019-09-10 19:03:00,1568163780.0,,,,,,1568163894.7,
123,2019-09-10 19:04:00,1568163840.0,,,,,,1568163954.8,
124,2019-09-11 08:25:00,1568211900.0,,,,,,1568212015.4,
125,2019-09-11 08:26:00,1568211960.0,,,,,,1568212075.4,
126,2019-09-11 08:27:00,1568212020.0,,,,,,1568212135.4,
127,2019-09-11 19:31:00,1568251860.0,,,,,,1568251975.9,
128,2019-09-11 19:32:00,1568251920.0,,,,,,1568252035.9,
129,2019-09-11 19:33:00,1568251980.0,,,,,,1568252095.9,
130,2019-09-12 08:22:00,1568298120.0,,,,,,1568298236.3,
131,2019-09-12 08:23:00,1568298180.0,,,,,,1568298296.3,
132,2019-09-12 08:24:00,1568298240.0,,,,,,1568298356.2,
133,2019-09-12 11:30:00,1568309400.0,,,,,,1568309516.4,
134,2019-09-12 11:31:00,1568309460.0,,,,,,1568309576.3,
135,2019-09-12 11:32:00,1568309520.0,,,,,,1568309636.4,
136,2019-08-29 08:24:00,1567088640.0,,,,,1567088743.0,,
137,2019-08-29 08:24:30,1567088670.0,,,,,1567088772.1,,
138,2019-09-09 08:30:00,1568039400.0,,,,,1568039511.2,,
139,2019-09-09 08:31:00,1568039460.0,,,,,1568039570.9,,
140,2019-09-12 11:30:00,1568309400.0,,,,,1568309513.6,,
141,2019-09-12 11:31:00,1568309460.0,,,,,1568309573.5,,
142,2019-09-12 11:32:00,1568309520.0,,,,,1568309633.6,,
